species,species_id,week_str,week_num,week_label,total_abundance,abundance_norm
Red Knot,4,2023-10-11,41,11 Oct,2735.3920000000003,100.0
Red Knot,4,2023-10-18,42,18 Oct,2414.2029999999995,88.26
Red Knot,4,2023-10-25,43,25 Oct,1474.2510000000002,53.9
Red Knot,4,2023-11-01,44,01 Nov,1491.159,54.51
Red Knot,4,2023-11-08,45,08 Nov,1740.16,63.62
Red Knot,4,2023-11-15,46,15 Nov,1687.794,61.7
Red Knot,4,2023-11-22,47,22 Nov,2305.756,84.29
Red Knot,4,2023-11-29,48,29 Nov,2220.115,81.16
Red Knot,4,2023-12-06,49,06 Dec,1730.4489999999998,63.26
Red Knot,4,2023-12-13,50,13 Dec,1610.058,58.86
Red Knot,4,2023-12-20,51,20 Dec,1273.6130000000005,46.56
Red Knot,4,2023-12-27,52,27 Dec,1188.845,43.46
Upland Sandpiper,3,2023-01-04,1,04 Jan,5.258,0.97
Upland Sandpiper,3,2023-01-11,2,11 Jan,1.557,0.29
Upland Sandpiper,3,2023-01-18,3,18 Jan,3.885,0.72
Upland Sandpiper,3,2023-01-25,4,25 Jan,16.534,3.05
Upland Sandpiper,3,2023-02-01,5,01 Feb,37.540000000000006,6.91
Upland Sandpiper,3,2023-02-08,6,08 Feb,53.224,9.8
Upland Sandpiper,3,2023-02-15,7,15 Feb,54.447,10.03
Upland Sandpiper,3,2023-02-22,8,22 Feb,53.023,9.77
Upland Sandpiper,3,2023-03-01,9,01 Mar,58.399,10.76
Upland Sandpiper,3,2023-03-08,10,08 Mar,73.167,13.48
Upland Sandpiper,3,2023-03-15,11,15 Mar,12.809,2.36
Upland Sandpiper,3,2023-03-22,12,22 Mar,7.303999999999999,1.35
Upland Sandpiper,3,2023-03-29,13,29 Mar,116.66,21.49
Upland Sandpiper,3,2023-04-05,14,05 Apr,252.755,46.55
Upland Sandpiper,3,2023-04-12,15,12 Apr,331.024,60.97
Upland Sandpiper,3,2023-04-19,16,19 Apr,351.37,64.71
Upland Sandpiper,3,2023-04-26,17,26 Apr,314.988,58.01
Upland Sandpiper,3,2023-05-03,18,03 May,240.16200000000003,44.23
Upland Sandpiper,3,2023-05-10,19,10 May,239.065,44.03
Upland Sandpiper,3,2023-05-17,20,17 May,235.609,43.39
Upland Sandpiper,3,2023-05-24,21,24 May,226.288,41.68
Upland Sandpiper,3,2023-05-31,22,31 May,236.504,43.56
Upland Sandpiper,3,2023-06-07,23,07 Jun,258.374,47.59
Upland Sandpiper,3,2023-06-14,24,14 Jun,301.804,55.58
Upland Sandpiper,3,2023-06-21,25,21 Jun,346.63,63.84
Upland Sandpiper,3,2023-06-28,26,28 Jun,321.824,59.27
Upland Sandpiper,3,2023-07-05,27,05 Jul,295.136,54.36
Upland Sandpiper,3,2023-07-12,28,12 Jul,285.997,52.67
Upland Sandpiper,3,2023-07-19,29,19 Jul,249.433,45.94
Upland Sandpiper,3,2023-07-26,30,26 Jul,301.302,55.49
Upland Sandpiper,3,2023-08-02,31,02 Aug,427.612,78.75
Upland Sandpiper,3,2023-08-09,32,09 Aug,524.231,96.55
Upland Sandpiper,3,2023-08-16,33,16 Aug,542.968,100.0
Upland Sandpiper,3,2023-08-23,34,23 Aug,507.825,93.53
Upland Sandpiper,3,2023-08-30,35,30 Aug,409.403,75.4
Upland Sandpiper,3,2023-09-06,36,06 Sep,320.56100000000004,59.04
Upland Sandpiper,3,2023-09-13,37,13 Sep,185.481,34.16
Upland Sandpiper,3,2023-09-20,38,20 Sep,19.372,3.57
Upland Sandpiper,3,2023-09-27,39,27 Sep,3.716,0.68
Upland Sandpiper,3,2023-10-11,41,11 Oct,0.316,0.06
Upland Sandpiper,3,2023-10-18,42,18 Oct,5.059,0.93
Upland Sandpiper,3,2023-10-25,43,25 Oct,5.071,0.93
Upland Sandpiper,3,2023-11-01,44,01 Nov,11.008,2.03
Upland Sandpiper,3,2023-11-08,45,08 Nov,18.897,3.48
Upland Sandpiper,3,2023-11-15,46,15 Nov,17.916,3.3
Upland Sandpiper,3,2023-11-22,47,22 Nov,18.029,3.32
Upland Sandpiper,3,2023-11-29,48,29 Nov,20.224,3.72
Upland Sandpiper,3,2023-12-06,49,06 Dec,17.089,3.15
Upland Sandpiper,3,2023-12-13,50,13 Dec,14.050999999999998,2.59
Upland Sandpiper,3,2023-12-20,51,20 Dec,11.854999999999997,2.18
Upland Sandpiper,3,2023-12-27,52,27 Dec,13.888,2.56
